lanebelopp,inkomst,alder,anstallningsform,syfte,ranta,amorteringstid_manader,skuldsattningsgrad,manadskostnad,betalningsborda,tidigare_anmarkning,default
247000,689903,34,Fast anställd,Konsumtion,12.55,24,0.36,11691,0.203,nej,1
113000,226531,22,Egenföretagare,Bil,10.03,48,0.5,2868,0.152,nej,0
271000,159306,41,Arbetslös,Konsumtion,14.55,12,1.7,24402,1.838,nej,1
153000,363024,36,Fast anställd,Bil,12.59,36,0.42,5125,0.169,nej,0
158000,378860,43,Fast anställd,Övrigt,9.59,60,0.42,3325,0.105,nej,0
500000,347716,56,Egenföretagare,Bil,13.8,48,1.44,13613,0.47,nej,0
500000,499469,34,Egenföretagare,Renovering,16.57,60,1.0,12311,0.296,ja,0
500000,661977,18,Fast anställd,Renovering,7.84,48,0.76,12169,0.221,nej,0
142000,260492,39,Arbetslös,Övrigt,14.89,48,0.55,3944,0.182,ja,1
500000,364675,39,Fast anställd,Bil,12.15,36,1.37,16643,0.548,nej,0
500000,363797,30,Fast anställd,Renovering,4.0,72,1.37,7823,0.258,nej,1
320000,854191,41,Egenföretagare,Bil,10.46,72,0.37,6003,0.084,nej,0
407000,360058,72,Pensionär,Bil,6.01,12,1.13,35031,1.168,nej,0
348000,503330,28,Fast anställd,Renovering,12.15,72,0.69,6831,0.163,nej,0
500000,560546,34,Egenföretagare,Konsumtion,17.16,60,0.89,12469,0.267,ja,0
293000,358458,52,Vikariat,Renovering,8.43,48,0.82,7212,0.241,nej,0
500000,587484,30,Fast anställd,Konsumtion,16.41,36,0.85,17680,0.361,nej,0
482000,434684,38,Fast anställd,Bil,12.94,36,1.11,16227,0.448,nej,1
357000,321464,52,Pensionär,Konsumtion,9.99,60,1.11,7583,0.283,nej,0
457000,288170,23,Fast anställd,Bil,13.25,24,1.59,21780,0.907,nej,1
386000,384337,39,Fast anställd,Konsumtion,11.6,48,1.0,10089,0.315,ja,1
500000,385789,50,Fast anställd,Renovering,8.81,24,1.3,22799,0.709,nej,1
224000,265052,59,Pensionär,Bil,10.66,36,0.85,7297,0.33,nej,0
147000,261900,38,Vikariat,Renovering,8.64,12,0.56,12831,0.588,nej,0
333000,338821,34,Egenföretagare,Bil,8.93,72,0.98,5991,0.212,nej,1
301000,287781,47,Fast anställd,Bil,7.16,24,1.05,13498,0.563,nej,0
446000,438908,25,Vikariat,Konsumtion,13.76,60,1.02,10322,0.282,ja,1
500000,351906,42,Vikariat,Konsumtion,11.63,48,1.42,13076,0.446,nej,0
203000,177804,64,Pensionär,Bil,8.66,60,1.14,4181,0.282,nej,0
376000,230856,69,Pensionär,Renovering,5.4,36,1.63,11337,0.589,nej,1
500000,550075,38,Fast anställd,Konsumtion,10.68,84,0.91,8477,0.185,nej,0
190000,299521,35,Vikariat,Övrigt,14.49,48,0.63,5239,0.21,nej,0
189000,383107,42,Fast anställd,Renovering,10.74,48,0.49,4861,0.152,ja,0
500000,476342,38,Fast anställd,Renovering,13.66,72,1.05,10212,0.257,nej,0
211000,551423,36,Fast anställd,Bil,11.67,24,0.38,9900,0.215,nej,0
140000,295752,34,Fast anställd,Bil,6.86,36,0.47,4314,0.175,nej,0
234000,592760,38,Fast anställd,Bil,7.88,48,0.39,5699,0.115,nej,0
256000,273729,40,Vikariat,Övrigt,10.62,24,0.94,11886,0.521,nej,0
500000,485884,28,Fast anställd,Bil,9.04,60,1.03,10389,0.257,nej,1
143000,434647,34,Egenföretagare,Renovering,6.01,48,0.33,3359,0.093,nej,0
436000,406576,27,Fast anställd,Övrigt,7.62,60,1.07,8761,0.259,nej,0
304000,341710,37,Fast anställd,Renovering,8.12,84,0.89,4756,0.167,nej,0
500000,383523,32,Egenföretagare,Renovering,16.33,84,1.3,10025,0.314,nej,0
500000,863600,45,Fast anställd,Renovering,10.07,36,0.58,16150,0.224,nej,1
402000,303584,44,Fast anställd,Renovering,7.5,24,1.32,18090,0.715,nej,0
500000,654946,28,Vikariat,Konsumtion,9.14,48,0.76,12476,0.229,nej,0
278000,446456,37,Fast anställd,Bil,10.56,48,0.62,7126,0.192,nej,0
500000,495033,44,Fast anställd,Konsumtion,8.56,24,1.01,22742,0.551,nej,1
271000,334252,36,Fast anställd,Konsumtion,8.04,24,0.81,12262,0.44,nej,1
136000,163928,27,Arbetslös,Renovering,13.3,24,0.83,6485,0.475,nej,0
500000,303756,27,Vikariat,Konsumtion,11.5,72,1.65,9646,0.381,nej,1
442000,251200,46,Vikariat,Konsumtion,6.66,24,1.76,19721,0.942,nej,0
500000,336676,47,Vikariat,Övrigt,7.98,24,1.49,22609,0.806,nej,0
500000,424023,35,Fast anställd,Renovering,10.07,48,1.18,12698,0.359,ja,0
500000,934506,45,Fast anställd,Bil,6.74,36,0.54,15379,0.197,nej,0
335000,246967,18,Egenföretagare,Övrigt,10.29,24,1.36,15503,0.753,nej,1
375000,506835,51,Fast anställd,Renovering,11.74,24,0.74,17607,0.417,nej,0
500000,533250,36,Fast anställd,Renovering,12.09,36,0.94,16629,0.374,nej,0
500000,336175,39,Fast anställd,Konsumtion,10.18,72,1.49,9308,0.332,nej,0
411000,621809,34,Fast anställd,Bil,10.04,36,0.66,13270,0.256,nej,0
186000,179947,48,Arbetslös,Bil,12.62,24,1.03,8810,0.588,nej,1
82000,204365,27,Fast anställd,Övrigt,4.3,84,0.4,1132,0.066,nej,0
500000,615966,52,Fast anställd,Konsumtion,9.86,36,0.81,16101,0.314,nej,0
383000,330734,41,Fast anställd,Konsumtion,10.24,24,1.16,17716,0.643,nej,1
102000,152979,41,Arbetslös,Bil,13.82,48,0.67,2778,0.218,nej,0
459000,622043,34,Fast anställd,Konsumtion,6.81,60,0.74,9048,0.175,nej,0
500000,433000,24,Fast anställd,Konsumtion,6.32,48,1.15,11816,0.327,nej,1
500000,700035,47,Egenföretagare,Renovering,12.37,36,0.71,16696,0.286,nej,0
500000,810237,41,Egenföretagare,Bil,14.14,24,0.62,24040,0.356,ja,0
409000,390145,51,Fast anställd,Konsumtion,12.49,60,1.05,9200,0.283,nej,1
289000,645410,36,Fast anställd,Bil,7.49,24,0.45,13004,0.242,nej,0
154000,375340,33,Fast anställd,Bil,8.78,60,0.41,3180,0.102,nej,0
500000,1068312,51,Fast anställd,Bil,9.54,12,0.47,43851,0.493,nej,0
409000,383641,57,Fast anställd,Renovering,8.13,36,1.07,12841,0.402,nej,1
500000,700206,38,Fast anställd,Bil,15.05,84,0.71,9662,0.166,ja,0
500000,656925,30,Fast anställd,Övrigt,12.6,48,0.76,13315,0.243,nej,0
223000,546140,46,Fast anställd,Bil,6.74,36,0.41,6859,0.151,nej,0
491000,286447,35,Vikariat,Bil,9.12,48,1.71,12247,0.513,nej,0
141000,191405,40,Arbetslös,Renovering,17.34,36,0.74,5051,0.317,nej,0
69000,170457,35,Vikariat,Renovering,11.63,72,0.4,1336,0.094,nej,0
293000,528895,53,Fast anställd,Renovering,9.79,24,0.55,13492,0.306,nej,1
244000,552586,31,Fast anställd,Renovering,10.35,36,0.44,7913,0.172,nej,0
116000,205535,39,Arbetslös,Bil,15.71,48,0.56,3270,0.191,nej,1
159000,172705,33,Fast anställd,Bil,10.47,60,0.92,3415,0.237,nej,0
441000,313962,35,Fast anställd,Bil,10.03,48,1.4,11191,0.428,nej,0
197000,278777,33,Vikariat,Övrigt,10.77,24,0.71,9161,0.394,nej,0
382000,401145,45,Vikariat,Bil,14.77,48,0.95,10587,0.317,nej,0
500000,400820,47,Vikariat,Konsumtion,10.73,24,1.25,23241,0.696,nej,1
342000,460662,43,Fast anställd,Renovering,9.5,12,0.74,29988,0.781,nej,0
500000,610684,36,Fast anställd,Renovering,13.38,72,0.82,10138,0.199,nej,0
82000,153804,36,Arbetslös,Konsumtion,19.5,36,0.53,3027,0.236,ja,1
343000,605362,46,Fast anställd,Renovering,9.33,36,0.57,10960,0.217,nej,0
420000,427692,47,Vikariat,Renovering,12.36,48,0.98,11135,0.312,nej,0
347000,534334,18,Egenföretagare,Renovering,12.78,48,0.65,9271,0.208,nej,0
500000,339858,35,Vikariat,Renovering,9.42,36,1.47,15998,0.565,nej,0
349000,927975,35,Fast anställd,Konsumtion,10.11,60,0.38,7434,0.096,nej,0
500000,581065,44,Fast anställd,Konsumtion,7.48,36,0.86,15549,0.321,nej,0
311000,258094,37,Vikariat,Bil,15.83,72,1.2,6717,0.312,nej,1
127000,319493,72,Pensionär,Renovering,10.1,36,0.4,4104,0.154,nej,0
335000,239934,24,Arbetslös,Övrigt,11.38,12,1.4,29667,1.484,nej,1
399000,397981,40,Fast anställd,Renovering,8.52,24,1.0,18140,0.547,nej,0
500000,715863,47,Fast anställd,Konsumtion,11.4,60,0.7,10971,0.184,nej,0
336000,218711,20,Arbetslös,Övrigt,11.41,72,1.54,6466,0.355,nej,1
107000,137140,63,Egenföretagare,Renovering,17.93,12,0.78,9806,0.858,nej,0
333000,324454,75,Pensionär,Renovering,5.86,72,1.03,5497,0.203,nej,1
293000,424170,38,Fast anställd,Övrigt,14.72,72,0.69,6151,0.174,ja,0
263000,437141,29,Vikariat,Bil,12.89,60,0.6,5969,0.164,ja,0
213000,709352,36,Egenföretagare,Bil,9.12,60,0.3,4434,0.075,nej,0
500000,387823,38,Vikariat,Bil,11.54,12,1.29,44317,1.371,nej,0
500000,875752,42,Fast anställd,Renovering,8.37,24,0.57,22698,0.311,nej,0
146000,459297,53,Fast anställd,Övrigt,13.48,24,0.32,6974,0.182,nej,0
141000,450758,33,Vikariat,Renovering,6.98,48,0.31,3375,0.09,nej,0
474000,648054,43,Fast anställd,Bil,10.91,48,0.73,12230,0.226,nej,0
151000,472564,25,Fast anställd,Konsumtion,8.81,72,0.32,2708,0.069,nej,0
208000,241516,30,Arbetslös,Bil,13.92,36,0.86,7101,0.353,nej,1
156000,397068,41,Fast anställd,Konsumtion,10.79,36,0.39,5092,0.154,nej,0
93000,261249,72,Pensionär,Övrigt,5.17,12,0.36,7969,0.366,nej,1
402000,308855,30,Fast anställd,Övrigt,10.09,84,1.3,6692,0.26,nej,0
500000,394152,33,Vikariat,Bil,13.89,72,1.27,10273,0.313,nej,0
197000,215628,49,Arbetslös,Konsumtion,15.43,12,0.91,17821,0.992,nej,0
500000,738770,49,Fast anställd,Renovering,8.58,48,0.68,12343,0.2,nej,0
221000,644931,40,Fast anställd,Bil,5.97,36,0.34,6720,0.125,nej,0
500000,442555,18,Fast anställd,Renovering,10.77,36,1.13,16315,0.442,nej,0
127000,323720,63,Fast anställd,Konsumtion,14.19,48,0.39,3483,0.129,nej,0
500000,549313,37,Egenföretagare,Renovering,12.9,36,0.91,16823,0.368,nej,0
500000,413836,66,Pensionär,Konsumtion,15.57,36,1.21,17473,0.507,ja,1
500000,636866,32,Fast anställd,Bil,11.83,24,0.79,23497,0.443,nej,0
500000,714663,41,Fast anställd,Övrigt,8.52,12,0.7,43615,0.732,nej,1
500000,453993,41,Fast anställd,Bil,9.73,60,1.1,10557,0.279,nej,0
244000,350350,47,Egenföretagare,Övrigt,14.44,36,0.7,8392,0.287,nej,0
477000,377786,28,Fast anställd,Konsumtion,5.55,60,1.26,9122,0.29,nej,0
340000,355199,34,Vikariat,Övrigt,11.63,72,0.96,6582,0.222,nej,0
108000,352389,58,Vikariat,Konsumtion,13.28,12,0.31,9660,0.329,nej,0
395000,389390,40,Vikariat,Konsumtion,10.03,48,1.01,10024,0.309,nej,0
500000,467308,36,Fast anställd,Bil,11.54,60,1.07,11006,0.283,nej,0
132000,413819,28,Egenföretagare,Konsumtion,10.98,48,0.32,3410,0.099,nej,0
459000,372561,43,Fast anställd,Bil,9.6,36,1.23,14725,0.474,nej,0
500000,679808,48,Fast anställd,Renovering,8.82,24,0.74,22801,0.402,nej,0
162000,303444,73,Pensionär,Konsumtion,15.42,36,0.53,5649,0.223,ja,1
383000,405460,35,Egenföretagare,Renovering,11.19,24,0.94,17885,0.529,nej,0
500000,376397,41,Fast anställd,Bil,5.31,60,1.33,9507,0.303,nej,0
498000,306762,54,Fast anställd,Bil,7.7,12,1.62,43251,1.692,nej,1
500000,772809,48,Fast anställd,Renovering,14.36,24,0.65,24092,0.374,nej,0
489000,593696,30,Fast anställd,Renovering,10.92,48,0.82,12619,0.255,nej,0
134000,276960,18,Fast anställd,Bil,4.26,48,0.48,3041,0.132,nej,0
225000,638642,40,Fast anställd,Renovering,12.52,48,0.35,5983,0.112,nej,0
500000,675270,45,Fast anställd,Konsumtion,6.62,24,0.74,22300,0.396,nej,0
500000,470799,27,Egenföretagare,Renovering,13.84,24,1.06,23969,0.611,nej,0
500000,633704,37,Vikariat,Övrigt,14.11,36,0.79,17116,0.324,nej,0
500000,390761,35,Vikariat,Övrigt,10.6,24,1.28,23211,0.713,nej,0
246000,297780,39,Fast anställd,Bil,7.01,36,0.83,7597,0.306,nej,0
112000,217791,29,Arbetslös,Bil,14.73,48,0.51,3102,0.171,ja,1
380000,319166,75,Pensionär,Renovering,13.84,36,1.19,12958,0.487,ja,1
415000,327208,39,Egenföretagare,Övrigt,8.7,72,1.27,7419,0.272,nej,0
329000,352239,62,Pensionär,Konsumtion,8.05,48,0.93,8040,0.274,nej,0
175000,131017,44,Arbetslös,Konsumtion,16.42,36,1.34,6189,0.567,nej,0
500000,691555,25,Fast anställd,Övrigt,7.87,24,0.72,22584,0.392,nej,0
500000,359567,50,Fast anställd,Övrigt,13.05,24,1.39,23783,0.794,nej,0
270000,256598,47,Vikariat,Övrigt,8.56,12,1.05,23557,1.102,nej,0
500000,417937,51,Egenföretagare,Konsumtion,4.0,36,1.2,14762,0.424,nej,1
185000,549347,36,Egenföretagare,Övrigt,8.82,72,0.34,3318,0.072,nej,0
500000,517815,33,Fast anställd,Övrigt,10.28,60,0.97,10693,0.248,nej,0
246000,377025,38,Fast anställd,Bil,11.66,36,0.65,8131,0.259,nej,0
289000,409572,37,Fast anställd,Övrigt,8.48,60,0.71,5926,0.174,nej,0
65000,149752,28,Arbetslös,Konsumtion,13.93,72,0.43,1337,0.107,nej,0
197000,334824,32,Vikariat,Bil,10.31,48,0.59,5026,0.18,nej,0
500000,712302,34,Fast anställd,Bil,13.85,36,0.7,17052,0.287,nej,0
450000,488213,26,Fast anställd,Konsumtion,10.45,24,0.92,20859,0.513,nej,1
500000,660528,44,Fast anställd,Bil,8.27,12,0.76,43557,0.791,nej,0
249000,458915,67,Pensionär,Övrigt,17.13,24,0.54,12327,0.322,ja,0
178000,294841,34,Vikariat,Renovering,11.07,48,0.6,4607,0.188,nej,0
458000,403008,26,Egenföretagare,Övrigt,7.18,24,1.14,20543,0.612,nej,1
500000,1045407,26,Fast anställd,Bil,6.03,36,0.48,15218,0.175,nej,0
500000,600501,57,Vikariat,Renovering,16.3,36,0.83,17653,0.353,ja,1
254000,272299,31,Fast anställd,Övrigt,5.06,48,0.93,5856,0.258,nej,0
500000,536903,44,Egenföretagare,Renovering,12.25,12,0.93,44483,0.994,nej,0
463000,489038,39,Fast anställd,Övrigt,7.55,84,0.95,7113,0.175,nej,1
500000,652951,18,Fast anställd,Bil,12.44,48,0.77,13275,0.244,nej,0
218000,279081,55,Vikariat,Övrigt,11.19,48,0.78,5654,0.243,nej,0
218000,161151,41,Arbetslös,Renovering,9.24,12,1.35,19089,1.421,nej,0
494000,385916,30,Fast anställd,Renovering,11.79,12,1.28,43843,1.363,nej,0
223000,249801,67,Pensionär,Övrigt,12.91,48,0.89,5973,0.287,nej,0
464000,650413,26,Fast anställd,Renovering,6.31,24,0.71,20630,0.381,nej,1
394000,323378,56,Fast anställd,Övrigt,7.49,60,1.22,7893,0.293,nej,0
500000,393204,28,Fast anställd,Övrigt,10.76,48,1.27,12865,0.393,nej,1
130000,261410,32,Fast anställd,Renovering,11.2,12,0.5,11502,0.528,nej,0
500000,695572,30,Fast anställd,Bil,15.38,48,0.72,14012,0.242,nej,1
500000,762883,38,Fast anställd,Renovering,11.73,60,0.66,11054,0.174,nej,0
474000,436055,51,Fast anställd,Bil,15.5,60,1.09,11401,0.314,nej,1
321000,184519,52,Arbetslös,Bil,18.71,36,1.74,11720,0.762,ja,1
500000,572992,34,Fast anställd,Konsumtion,10.46,36,0.87,16242,0.34,nej,0
500000,924715,41,Egenföretagare,Övrigt,9.22,48,0.54,12495,0.162,nej,0
500000,564115,38,Fast anställd,Renovering,8.19,60,0.89,10184,0.217,nej,0
191000,283753,28,Vikariat,Bil,14.25,60,0.67,4469,0.189,ja,0
372000,277454,62,Fast anställd,Konsumtion,8.04,48,1.34,9089,0.393,nej,0
500000,330944,51,Fast anställd,Renovering,4.0,48,1.51,11290,0.409,nej,0
500000,501634,39,Fast anställd,Konsumtion,7.83,48,1.0,12167,0.291,nej,0
232000,388728,53,Fast anställd,Bil,12.19,48,0.6,6131,0.189,nej,0
405000,523471,50,Fast anställd,Övrigt,9.68,72,0.77,7438,0.171,nej,0
320000,298485,38,Vikariat,Konsumtion,11.66,48,1.07,8374,0.337,nej,1
249000,215896,69,Pensionär,Bil,7.59,36,1.15,7756,0.431,nej,0
145000,245606,53,Egenföretagare,Konsumtion,12.0,84,0.59,2560,0.125,nej,1
403000,625823,28,Vikariat,Övrigt,14.9,72,0.64,8500,0.163,nej,0
500000,667400,54,Fast anställd,Övrigt,13.0,60,0.75,11377,0.205,nej,0
500000,895987,35,Fast anställd,Bil,10.41,12,0.56,44053,0.59,nej,0
500000,590652,53,Fast anställd,Bil,7.37,48,0.85,12059,0.245,nej,0
500000,420627,37,Fast anställd,Bil,13.92,12,1.19,44875,1.28,nej,0
500000,776979,41,Fast anställd,Bil,12.15,12,0.64,44459,0.687,nej,0
500000,483316,37,Fast anställd,Bil,5.8,36,1.03,15166,0.377,nej,0
500000,528233,32,Fast anställd,Konsumtion,5.11,36,0.95,15010,0.341,nej,0
500000,481668,35,Fast anställd,Renovering,5.94,48,1.04,11729,0.292,nej,0
86000,122507,76,Pensionär,Bil,11.88,24,0.7,4044,0.396,ja,0
500000,986942,18,Egenföretagare,Renovering,14.13,24,0.51,24037,0.292,nej,0
500000,580619,25,Fast anställd,Renovering,11.69,48,0.86,13091,0.271,nej,0
500000,327402,63,Pensionär,Bil,10.35,36,1.53,16216,0.594,nej,1
300000,195742,24,Arbetslös,Konsumtion,16.75,12,1.53,27326,1.675,ja,1
500000,517725,53,Fast anställd,Övrigt,15.43,36,0.97,17438,0.404,nej,1
349000,396706,50,Fast anställd,Konsumtion,9.58,60,0.88,7343,0.222,nej,1
500000,606707,43,Fast anställd,Bil,9.28,12,0.82,43791,0.866,nej,0
215000,143375,28,Arbetslös,Övrigt,11.42,72,1.5,4139,0.346,nej,1
448000,313583,76,Pensionär,Renovering,15.03,36,1.43,15537,0.595,nej,1
500000,595139,22,Fast anställd,Renovering,11.3,36,0.84,16440,0.331,nej,1
169000,456099,59,Fast anställd,Bil,6.91,24,0.37,7560,0.199,nej,0
500000,412422,31,Vikariat,Bil,7.96,48,1.21,12197,0.355,nej,1
351000,345598,35,Fast anställd,Konsumtion,5.3,12,1.02,30097,1.045,nej,1
500000,348697,33,Fast anställd,Övrigt,9.26,48,1.43,12504,0.43,nej,0
385000,318384,61,Pensionär,Konsumtion,5.75,12,1.21,33091,1.247,nej,0
500000,459315,57,Vikariat,Bil,8.21,36,1.09,15717,0.411,nej,1
302000,168980,72,Pensionär,Renovering,12.17,24,1.79,14240,1.011,nej,0
152000,346835,75,Pensionär,Bil,11.73,24,0.44,7136,0.247,nej,0
240000,337189,25,Egenföretagare,Övrigt,15.68,36,0.71,8400,0.299,nej,0
500000,457036,39,Fast anställd,Bil,5.82,12,1.09,42992,1.129,nej,0
175000,226651,43,Vikariat,Renovering,7.66,24,0.77,7888,0.418,nej,1
297000,362918,40,Fast anställd,Bil,7.93,36,0.82,9297,0.307,nej,1
500000,507952,26,Vikariat,Konsumtion,14.81,48,0.98,13867,0.328,nej,1
500000,494598,48,Fast anställd,Konsumtion,9.66,36,1.01,16054,0.39,nej,1
143000,316800,39,Vikariat,Bil,14.81,60,0.45,3388,0.128,nej,0
359000,469408,28,Fast anställd,Konsumtion,11.07,24,0.76,16744,0.428,nej,1
240000,580255,19,Fast anställd,Konsumtion,9.22,48,0.41,5998,0.124,nej,0
500000,570445,44,Fast anställd,Konsumtion,10.93,12,0.88,44175,0.929,nej,1
266000,476270,62,Fast anställd,Övrigt,5.18,24,0.56,11691,0.295,nej,0
500000,764119,27,Egenföretagare,Övrigt,5.53,72,0.65,8176,0.128,nej,0
500000,718723,39,Egenföretagare,Renovering,11.4,84,0.7,8667,0.145,nej,0
219000,565056,49,Fast anställd,Konsumtion,9.54,84,0.39,3584,0.076,nej,1
374000,498378,25,Fast anställd,Konsumtion,14.33,60,0.75,8766,0.211,nej,0
500000,615421,33,Fast anställd,Renovering,10.1,24,0.81,23096,0.45,ja,0
438000,545792,29,Fast anställd,Övrigt,10.43,24,0.8,20299,0.446,nej,0
500000,708765,47,Fast anställd,Renovering,11.24,12,0.71,44247,0.749,nej,1
500000,388430,75,Pensionär,Konsumtion,10.36,12,1.29,44042,1.361,nej,0
282000,342357,39,Fast anställd,Renovering,12.25,48,0.82,7461,0.262,nej,0
268000,334339,29,Fast anställd,Konsumtion,7.92,36,0.8,8388,0.301,nej,0
500000,382530,33,Fast anställd,Renovering,11.58,48,1.31,13064,0.41,nej,1
500000,688071,31,Fast anställd,Bil,10.9,48,0.73,12898,0.225,nej,0
117000,281613,28,Fast anställd,Renovering,12.41,12,0.42,10418,0.444,nej,0
237000,415885,36,Vikariat,Bil,9.85,36,0.57,7631,0.22,nej,0
500000,555092,43,Fast anställd,Övrigt,6.53,48,0.9,11864,0.256,nej,0
500000,734486,42,Fast anställd,Renovering,7.93,60,0.68,10121,0.165,nej,0
331000,520798,37,Fast anställd,Bil,6.84,24,0.64,14796,0.341,nej,0
345000,305552,38,Fast anställd,Konsumtion,8.09,24,1.13,15618,0.613,nej,0
176000,349488,37,Fast anställd,Renovering,8.66,72,0.5,3143,0.108,nej,1
194000,147930,22,Arbetslös,Renovering,10.33,72,1.31,3626,0.294,nej,1
173000,300054,39,Vikariat,Renovering,10.52,60,0.58,3720,0.149,nej,0
127000,339756,32,Vikariat,Konsumtion,7.5,12,0.37,11018,0.389,nej,1
499000,325167,24,Fast anställd,Övrigt,9.32,48,1.53,12494,0.461,nej,1
500000,818093,41,Fast anställd,Övrigt,8.26,24,0.61,22673,0.333,nej,1
142000,307475,31,Fast anställd,Övrigt,9.2,60,0.46,2961,0.116,nej,0
500000,580204,40,Vikariat,Konsumtion,13.63,36,0.86,16999,0.352,ja,1
500000,800171,46,Egenföretagare,Övrigt,11.4,36,0.62,16464,0.247,nej,0
500000,669579,28,Fast anställd,Bil,7.56,24,0.75,22513,0.403,nej,0
500000,383533,38,Fast anställd,Bil,7.86,48,1.3,12174,0.381,nej,0
500000,551202,19,Fast anställd,Bil,12.06,36,0.91,16621,0.362,nej,0
99000,202154,77,Pensionär,Renovering,12.69,48,0.49,2641,0.157,nej,0
195000,498230,24,Vikariat,Övrigt,9.78,36,0.39,6272,0.151,nej,0
370000,476443,32,Fast anställd,Renovering,9.11,36,0.78,11785,0.297,nej,0
182000,423681,51,Fast anställd,Konsumtion,5.24,60,0.43,3455,0.098,nej,0
260000,236024,35,Vikariat,Bil,12.51,24,1.1,12301,0.625,ja,1
66000,205432,26,Fast anställd,Renovering,5.87,72,0.32,1090,0.064,nej,0
328000,339935,45,Fast anställd,Bil,11.46,12,0.96,29060,1.026,ja,1
409000,721782,44,Fast anställd,Bil,12.19,24,0.57,19289,0.321,nej,1
268000,314584,31,Vikariat,Övrigt,7.21,48,0.85,6444,0.246,nej,0
500000,460807,32,Fast anställd,Konsumtion,7.24,84,1.09,7605,0.198,nej,0
500000,615040,33,Fast anställd,Konsumtion,7.26,72,0.81,8587,0.168,nej,0
413000,509762,66,Pensionär,Renovering,5.33,36,0.81,12439,0.293,nej,0
500000,777432,19,Fast anställd,Bil,11.66,36,0.64,16526,0.255,nej,0
479000,347904,36,Fast anställd,Renovering,10.19,48,1.38,12192,0.421,nej,1
265000,247731,55,Fast anställd,Konsumtion,14.02,60,1.07,6169,0.299,nej,1
500000,1116673,29,Fast anställd,Renovering,7.01,48,0.45,11975,0.129,nej,0
500000,1200000,32,Egenföretagare,Konsumtion,7.06,24,0.42,22400,0.224,nej,0
175000,522279,26,Fast anställd,Konsumtion,11.85,60,0.34,3880,0.089,nej,0
131000,313429,44,Fast anställd,Bil,8.6,60,0.42,2694,0.103,nej,0
500000,507437,50,Vikariat,Konsumtion,9.28,72,0.99,9082,0.215,nej,0
295000,348783,49,Vikariat,Konsumtion,14.85,36,0.85,10205,0.351,nej,0
133000,348173,25,Vikariat,Renovering,11.92,24,0.38,6256,0.216,nej,0
499000,668679,42,Fast anställd,Konsumtion,11.76,24,0.75,23434,0.421,nej,0
272000,549646,52,Fast anställd,Konsumtion,7.94,36,0.49,8516,0.186,nej,0
409000,244529,43,Egenföretagare,Bil,10.49,24,1.67,18966,0.931,nej,0
263000,436411,42,Fast anställd,Renovering,8.59,36,0.6,8313,0.229,nej,0
186000,361618,65,Pensionär,Bil,11.18,12,0.51,16455,0.546,nej,0
428000,345613,69,Pensionär,Övrigt,9.63,24,1.24,19677,0.683,nej,1
347000,320810,75,Pensionär,Bil,10.67,36,1.08,11306,0.423,nej,0
500000,677861,41,Fast anställd,Renovering,4.0,24,0.74,21712,0.384,nej,0
410000,430799,25,Fast anställd,Renovering,4.8,24,0.95,17951,0.5,nej,0
484000,483755,33,Egenföretagare,Renovering,5.5,12,1.0,41545,1.031,nej,0
220000,150023,50,Fast anställd,Renovering,8.55,12,1.47,19193,1.535,nej,0
263000,417743,41,Fast anställd,Bil,6.01,24,0.63,11658,0.335,nej,0
333000,372939,68,Pensionär,Bil,13.72,48,0.89,9053,0.291,nej,0
458000,263782,64,Pensionär,Övrigt,9.45,24,1.74,21018,0.956,nej,0
242000,415326,49,Fast anställd,Övrigt,10.04,60,0.58,5147,0.149,nej,0
251000,339589,54,Fast anställd,Bil,6.78,60,0.74,4944,0.175,nej,0
408000,694660,50,Fast anställd,Övrigt,6.7,60,0.59,8021,0.139,nej,0
192000,582003,52,Egenföretagare,Bil,15.45,36,0.33,6698,0.138,nej,0
267000,379885,65,Pensionär,Konsumtion,13.96,12,0.7,23968,0.757,nej,1
98000,267219,32,Fast anställd,Renovering,10.54,12,0.37,8640,0.388,nej,0
245000,462241,36,Fast anställd,Renovering,4.42,48,0.53,5578,0.145,nej,0
230000,272656,68,Pensionär,Renovering,8.44,72,0.84,4082,0.18,nej,0
146000,443210,52,Fast anställd,Bil,10.28,24,0.33,6756,0.183,nej,0
500000,394111,49,Fast anställd,Konsumtion,8.93,60,1.27,10362,0.316,nej,1
272000,182311,40,Arbetslös,Renovering,11.56,48,1.49,7104,0.468,ja,0
500000,658273,23,Fast anställd,Renovering,14.12,48,0.76,13693,0.25,nej,0
329000,185442,21,Vikariat,Övrigt,8.66,48,1.77,8134,0.526,nej,1
500000,910776,40,Fast anställd,Konsumtion,6.15,12,0.55,43068,0.567,nej,0
500000,579165,46,Fast anställd,Bil,9.42,48,0.86,12542,0.26,nej,0
254000,433147,37,Egenföretagare,Renovering,14.45,36,0.59,8737,0.242,nej,0
500000,671582,57,Fast anställd,Övrigt,10.78,60,0.74,10816,0.193,nej,0
237000,138280,24,Arbetslös,Renovering,11.27,36,1.71,7789,0.676,nej,1
187000,287033,25,Vikariat,Konsumtion,6.44,36,0.65,5726,0.239,nej,0
500000,468655,31,Fast anställd,Konsumtion,4.02,48,1.07,11294,0.289,nej,0
500000,788546,30,Fast anställd,Bil,8.77,48,0.63,12388,0.189,nej,0
364000,481049,43,Fast anställd,Övrigt,8.32,36,0.76,11460,0.286,nej,0
