lanebelopp,kontantinsats_procent,inkomst,skuldkvot,bostadsort,ranta,tidigare_betalningsanmarkning,default
879620,15.1,327846,2.68,Ovrigt,3.91,nej,1
1711600,12.4,300000,5.71,Goteborg,3.29,nej,0
2126445,16.2,498746,4.26,Stockholm,3.66,nej,0
2359155,10.4,471059,5.01,Ovrigt,4.37,nej,1
5000000,18.6,896413,5.58,Stockholm,3.22,nej,0
1477143,16.6,300000,4.92,Malmo,4.42,ja,1
1674045,13.7,603694,2.77,Ovrigt,3.27,nej,0
3369722,16.1,460860,7.31,Stockholm,2.88,nej,0
4341411,13.0,690367,6.29,Stockholm,3.13,nej,0
3498222,12.9,487011,7.18,Stockholm,2.9,nej,1
4883031,17.8,642336,7.6,Stockholm,2.92,nej,1
3260649,17.3,853201,3.82,Stockholm,2.86,nej,0
851416,11.6,300000,2.84,Malmo,3.68,ja,0
3141956,13.5,454993,6.91,Stockholm,3.63,nej,1
3203461,14.5,526488,6.08,Goteborg,2.18,nej,0
4039930,17.0,1046156,3.86,Ovrigt,3.37,nej,0
964155,13.2,300000,3.21,Ovrigt,4.23,ja,1
4786801,17.0,1000543,4.78,Malmo,4.03,nej,0
5000000,21.0,1200000,4.17,Stockholm,2.98,nej,0
1418842,11.7,425523,3.33,Malmo,4.84,ja,0
2009016,16.9,433973,4.63,Goteborg,2.68,nej,0
1327950,11.8,370709,3.58,Goteborg,2.93,nej,0
3167615,16.9,581123,5.45,Stockholm,3.45,nej,0
1491271,12.5,300000,4.97,Ovrigt,3.56,nej,1
2837553,17.3,474256,5.98,Goteborg,3.04,nej,1
5000000,13.0,1086804,4.6,Stockholm,3.33,nej,1
2241718,12.6,382914,5.85,Goteborg,3.1,nej,0
1827645,15.0,444057,4.12,Goteborg,3.67,nej,0
1362250,12.6,300000,4.54,Ovrigt,3.11,nej,0
2264478,11.2,464921,4.87,Ovrigt,3.07,nej,0
2199297,11.6,444983,4.94,Ovrigt,3.79,nej,0
3895298,11.6,612608,6.36,Stockholm,3.33,nej,1
1597712,18.8,448322,3.56,Goteborg,3.6,nej,0
1262528,15.2,434911,2.9,Goteborg,4.7,nej,0
2861311,19.3,729971,3.92,Stockholm,2.01,nej,0
4512193,12.6,590351,7.64,Stockholm,2.58,nej,1
1589094,13.0,454061,3.5,Ovrigt,2.64,nej,1
4646997,20.4,650823,7.14,Stockholm,2.69,nej,1
3479469,11.8,766332,4.54,Goteborg,4.05,nej,1
4898567,14.4,782929,6.26,Stockholm,2.0,nej,1
2167396,17.7,645089,3.36,Stockholm,3.49,nej,0
4808943,18.6,1096209,4.39,Stockholm,2.28,nej,0
1621065,12.0,473594,3.42,Ovrigt,4.08,ja,0
2699456,16.1,674674,4.0,Ovrigt,3.36,nej,0
1344810,12.3,510311,2.64,Ovrigt,3.74,nej,0
1708056,22.9,300000,5.69,Goteborg,3.04,nej,0
4939668,12.6,1006444,4.91,Stockholm,3.1,nej,1
3043547,14.5,516107,5.9,Goteborg,2.0,nej,1
1497563,12.5,478886,3.13,Goteborg,4.57,nej,1
1857958,18.5,447995,4.15,Ovrigt,3.38,nej,1
2385018,18.1,520219,4.58,Stockholm,3.46,nej,0
3111993,17.2,535422,5.81,Goteborg,3.84,nej,0
2394140,12.0,471299,5.08,Stockholm,3.16,nej,0
5000000,17.4,994215,5.03,Stockholm,3.45,nej,0
1876140,11.5,382530,4.9,Ovrigt,3.63,nej,0
1187111,11.1,419561,2.83,Goteborg,3.13,ja,0
943237,14.9,337739,2.79,Goteborg,3.52,nej,0
3111776,16.2,544438,5.72,Goteborg,4.45,nej,0
2760434,20.3,526940,5.24,Goteborg,4.93,ja,1
1401217,10.7,467600,3.0,Ovrigt,4.12,nej,0
1078749,11.5,300000,3.6,Ovrigt,4.35,nej,0
674927,13.1,300000,2.25,Ovrigt,2.44,nej,0
1386884,13.1,514132,2.7,Ovrigt,3.71,ja,0
5000000,19.5,1081496,4.62,Stockholm,3.43,ja,1
1625746,15.0,300000,5.42,Malmo,5.0,ja,1
4244430,15.6,923361,4.6,Goteborg,3.35,nej,0
3959202,18.9,669016,5.92,Stockholm,2.35,nej,0
1885902,17.7,399182,4.72,Ovrigt,2.54,nej,0
2371297,15.3,509395,4.66,Stockholm,4.01,ja,1
1262874,16.4,300000,4.21,Ovrigt,2.38,nej,0
4403999,16.7,725844,6.07,Goteborg,4.32,nej,0
1041075,10.2,324408,3.21,Malmo,4.13,ja,0
1213732,15.9,323863,3.75,Malmo,3.39,nej,0
3000122,16.5,595270,5.04,Ovrigt,2.57,nej,0
1782379,18.4,300000,5.94,Malmo,2.41,nej,1
984391,17.8,300000,3.28,Malmo,3.41,nej,0
2106101,12.9,592879,3.55,Stockholm,3.28,nej,0
2085425,12.8,549802,3.79,Goteborg,2.43,nej,1
3668146,11.1,724976,5.06,Stockholm,3.17,nej,1
1219406,11.8,354789,3.44,Ovrigt,3.17,nej,0
5000000,16.5,1200000,4.17,Goteborg,3.64,nej,0
2281145,13.8,403867,5.65,Malmo,4.46,nej,1
2588210,17.2,544533,4.75,Stockholm,2.79,ja,1
3090217,11.7,434176,7.12,Stockholm,4.23,ja,1
1010868,11.0,420652,2.4,Ovrigt,2.78,nej,0
2627673,19.3,763741,3.44,Stockholm,3.45,nej,0
5000000,13.5,966494,5.17,Stockholm,3.28,nej,0
1159107,13.6,329155,3.52,Stockholm,3.5,nej,0
1194569,10.4,362798,3.29,Ovrigt,2.45,nej,0
2294028,15.3,478629,4.79,Ovrigt,3.78,nej,1
2275377,13.9,618358,3.68,Goteborg,3.22,nej,0
3869307,11.7,598761,6.46,Stockholm,4.04,nej,0
3431848,15.9,741899,4.63,Stockholm,4.16,nej,1
677591,17.9,300000,2.26,Ovrigt,3.34,nej,0
3670028,12.8,825019,4.45,Malmo,3.79,nej,1
5000000,17.2,888287,5.63,Stockholm,3.74,nej,0
1783038,16.9,348721,5.11,Stockholm,4.0,nej,0
2353587,10.6,388465,6.06,Stockholm,3.96,nej,0
1695024,11.5,300000,5.65,Malmo,2.5,nej,1
2349109,12.2,525018,4.47,Ovrigt,3.37,nej,0
1476082,12.7,357220,4.13,Stockholm,2.37,nej,0
3445816,14.3,523132,6.59,Stockholm,2.89,nej,0
3963832,18.0,716319,5.53,Stockholm,2.91,nej,0
1693632,14.3,389856,4.34,Ovrigt,3.55,nej,0
3642971,15.6,662353,5.5,Stockholm,3.06,nej,1
751702,17.1,300000,2.51,Ovrigt,3.1,nej,0
2522690,14.8,561261,4.49,Malmo,3.8,nej,0
1777012,12.7,382588,4.64,Goteborg,3.73,nej,1
2940486,12.2,524474,5.61,Stockholm,3.37,nej,1
4760944,13.3,656772,7.25,Stockholm,3.65,nej,0
2596516,18.0,461035,5.63,Malmo,3.59,nej,0
1404196,13.0,404170,3.47,Ovrigt,4.38,nej,0
1341808,10.9,327665,4.1,Malmo,3.07,nej,0
2053052,15.8,433731,4.73,Goteborg,2.75,nej,1
3355661,10.9,597717,5.61,Stockholm,3.32,nej,1
1485720,13.4,300000,4.95,Ovrigt,2.95,ja,0
1349736,12.4,332696,4.06,Ovrigt,3.48,ja,1
3146832,14.8,697370,4.51,Stockholm,3.47,nej,1
1111896,12.0,300000,3.71,Ovrigt,3.26,ja,0
3299196,14.2,702662,4.7,Malmo,3.06,nej,1
3484075,14.8,735161,4.74,Malmo,3.04,nej,0
1159839,10.6,300000,3.87,Ovrigt,2.94,nej,0
1828537,11.4,689035,2.65,Ovrigt,2.54,nej,0
1093413,17.4,417720,2.62,Malmo,3.81,nej,0
3379868,15.0,706024,4.79,Stockholm,4.02,nej,0
2543566,16.4,489597,5.2,Stockholm,3.77,nej,1
1337046,14.0,579092,2.31,Ovrigt,3.77,nej,0
4888240,22.9,702525,6.96,Stockholm,2.95,nej,1
1438531,12.5,353040,4.07,Goteborg,3.31,nej,0
1922802,23.3,306790,6.27,Goteborg,2.73,nej,0
1003343,11.5,300000,3.34,Goteborg,3.12,nej,0
1287428,17.0,476954,2.7,Malmo,3.17,nej,0
1791774,16.7,503323,3.56,Ovrigt,2.37,nej,0
3184927,15.4,774820,4.11,Stockholm,3.28,nej,0
4281142,15.8,569667,7.52,Stockholm,3.27,ja,1
1239449,11.4,375946,3.3,Stockholm,3.36,nej,0
1021607,15.9,304726,3.35,Ovrigt,3.06,nej,0
4028998,12.1,701474,5.74,Malmo,3.41,nej,0
2459343,12.9,491957,5.0,Stockholm,3.62,nej,0
1018323,14.2,423948,2.4,Ovrigt,2.45,nej,0
907833,15.7,300000,3.03,Ovrigt,3.01,nej,0
1651828,12.3,458004,3.61,Ovrigt,2.81,nej,0
891965,10.7,333342,2.68,Ovrigt,3.91,nej,0
4877016,16.2,907714,5.37,Stockholm,4.22,nej,0
2516365,19.7,545480,4.61,Ovrigt,3.23,nej,1
2449941,19.0,401000,6.11,Goteborg,3.44,nej,1
864404,15.8,380535,2.27,Ovrigt,2.91,ja,1
836080,17.8,321114,2.6,Ovrigt,4.18,ja,0
883196,17.0,300000,2.94,Ovrigt,3.04,nej,0
1438574,16.8,313960,4.58,Malmo,4.02,nej,1
3162886,18.2,646473,4.89,Stockholm,3.06,nej,0
3341027,12.4,556879,6.0,Goteborg,2.71,nej,0
1808496,14.9,424819,4.26,Ovrigt,2.39,nej,0
859981,23.5,354799,2.42,Ovrigt,3.31,nej,0
5000000,14.6,867374,5.76,Stockholm,2.87,nej,0
2305833,15.2,612568,3.76,Stockholm,3.93,nej,0
3489500,13.5,791196,4.41,Stockholm,3.58,nej,0
796249,19.4,300000,2.65,Ovrigt,3.14,nej,0
791957,13.0,300000,2.64,Ovrigt,3.58,nej,0
4050424,15.4,668983,6.05,Stockholm,4.25,nej,0
1475963,10.7,300000,4.92,Goteborg,2.5,nej,0
973915,11.7,367698,2.65,Ovrigt,3.48,ja,0
1798838,24.4,354747,5.07,Ovrigt,4.36,nej,0
4035553,17.2,922608,4.37,Goteborg,2.75,nej,1
1474326,13.5,519176,2.84,Malmo,3.6,nej,0
1679350,12.4,522480,3.21,Goteborg,4.33,ja,0
4930176,15.8,834673,5.91,Stockholm,3.87,ja,1
3038492,18.1,512675,5.93,Malmo,3.61,nej,0
1658478,10.9,368401,4.5,Malmo,3.02,nej,0
3040869,13.7,614516,4.95,Ovrigt,5.0,ja,0
1216339,12.6,300000,4.05,Malmo,2.93,nej,0
1558780,18.2,455567,3.42,Ovrigt,2.63,nej,0
1776685,11.7,321570,5.53,Stockholm,3.73,nej,0
2883319,13.3,530501,5.44,Goteborg,3.63,nej,1
3175711,12.1,645122,4.92,Stockholm,3.62,ja,1
5000000,13.8,1167741,4.28,Stockholm,3.22,nej,0
663633,10.7,300000,2.21,Ovrigt,2.9,nej,0
1080747,15.2,314784,3.43,Ovrigt,2.76,nej,0
4626758,13.6,829910,5.58,Stockholm,3.39,ja,0
2844305,12.6,559124,5.09,Goteborg,3.39,nej,0
1267651,12.6,430250,2.95,Ovrigt,3.08,nej,0
2116441,13.1,407397,5.2,Stockholm,2.31,nej,0
1465600,12.9,349295,4.2,Malmo,2.95,nej,0
2745807,14.3,658695,4.17,Ovrigt,3.07,nej,0
2256842,14.0,433391,5.21,Malmo,3.51,nej,0
4584954,10.9,693942,6.61,Stockholm,3.38,nej,0
1898094,11.6,466925,4.07,Goteborg,4.25,nej,1
1529509,11.4,300000,5.1,Ovrigt,2.61,nej,0
3516097,12.0,642758,5.47,Malmo,4.5,ja,1
3237763,16.8,730360,4.43,Stockholm,3.58,nej,0
2723744,13.0,1006766,2.71,Ovrigt,3.37,nej,1
1861337,15.2,397824,4.68,Stockholm,3.02,nej,0
1930698,14.1,556281,3.47,Ovrigt,2.79,nej,0
2516673,10.4,353409,7.12,Stockholm,3.18,nej,0
1893115,11.7,426317,4.44,Ovrigt,2.13,nej,1
4355283,13.3,722593,6.03,Goteborg,2.65,nej,1
1346221,11.5,300000,4.49,Stockholm,2.62,nej,1
3273791,11.8,550194,5.95,Stockholm,3.5,nej,0
2163796,15.1,476735,4.54,Stockholm,3.58,nej,1
740466,17.6,302312,2.45,Ovrigt,2.56,nej,0
1942948,14.5,467000,4.16,Ovrigt,2.42,nej,0
2526537,16.5,765492,3.3,Goteborg,2.32,nej,0
2466423,13.1,463558,5.32,Goteborg,4.16,ja,1
1761320,16.1,434605,4.05,Ovrigt,3.75,nej,1
1900551,13.4,419040,4.54,Ovrigt,3.59,nej,0
1323078,20.3,442732,2.99,Malmo,4.66,ja,0
1823571,12.1,316241,5.77,Goteborg,4.27,nej,0
5000000,15.0,761753,6.56,Goteborg,2.6,nej,0
2727605,17.0,497861,5.48,Malmo,2.96,nej,1
4665398,12.6,699382,6.67,Stockholm,3.67,nej,0
1543658,15.0,320422,4.82,Malmo,2.0,nej,0
1779701,17.3,406895,4.37,Goteborg,3.05,nej,0
1603582,15.2,373079,4.3,Ovrigt,3.78,nej,1
2116027,12.1,323304,6.55,Stockholm,3.74,ja,1
1413073,12.9,300000,4.71,Malmo,3.64,nej,1
2236125,15.2,384500,5.82,Goteborg,2.0,nej,0
2219551,15.5,545254,4.07,Malmo,3.37,nej,1
1748367,15.8,459891,3.8,Stockholm,2.92,nej,0
1337021,21.2,300000,4.46,Malmo,3.78,ja,0
1094709,18.7,319376,3.43,Malmo,2.63,nej,0
1418014,10.8,368745,3.85,Malmo,4.89,ja,0
983461,12.9,384022,2.56,Malmo,3.24,nej,0
4039454,15.5,1052005,3.84,Malmo,3.29,nej,0
2765770,14.7,610386,4.53,Ovrigt,4.44,nej,1
5000000,11.1,899783,5.56,Stockholm,2.65,nej,1
1376191,12.8,638854,2.15,Ovrigt,3.28,nej,0
1494872,17.6,327902,4.56,Goteborg,2.79,nej,1
1675966,10.9,366243,4.58,Stockholm,2.76,nej,0
2079990,10.7,383560,5.42,Stockholm,3.38,nej,0
5000000,16.7,1018460,4.91,Stockholm,3.45,ja,1
1575173,10.7,321619,4.9,Ovrigt,4.73,ja,1
674250,19.0,300000,2.25,Ovrigt,4.27,nej,0
1401140,14.9,336920,4.16,Ovrigt,3.1,nej,0
2678360,13.3,444434,6.03,Goteborg,2.28,nej,1
3507342,13.1,544359,6.44,Goteborg,3.03,nej,0
2679472,16.3,660254,4.06,Stockholm,3.83,nej,1
2430151,14.0,428792,5.67,Stockholm,3.61,ja,1
1876838,14.5,643233,2.92,Goteborg,4.16,nej,1
2553390,17.4,462463,5.52,Stockholm,3.55,nej,0
2143514,19.9,561007,3.82,Stockholm,2.88,ja,1
3163322,13.1,582281,5.43,Malmo,2.8,nej,0
762958,12.3,309672,2.46,Ovrigt,2.89,nej,0
1164195,21.9,318780,3.65,Ovrigt,2.72,nej,1
1864103,11.1,507203,3.68,Ovrigt,2.51,nej,0
1852395,12.6,313924,5.9,Malmo,2.85,nej,1
2209838,11.2,419191,5.27,Goteborg,2.97,nej,0
1938029,15.2,552548,3.51,Malmo,3.98,nej,0
2586781,15.2,910397,2.84,Ovrigt,3.46,nej,0
2916652,13.1,760827,3.83,Stockholm,3.5,nej,0
3344858,20.3,590695,5.66,Goteborg,3.41,nej,0
2069113,14.2,495003,4.18,Ovrigt,2.72,nej,0
1622656,16.8,318291,5.1,Goteborg,4.21,ja,1
1224606,15.3,463350,2.64,Malmo,2.94,nej,0
2260156,12.6,437176,5.17,Malmo,3.0,nej,1
4190903,16.7,679174,6.17,Stockholm,3.43,nej,1
3309749,18.7,512268,6.46,Goteborg,4.7,nej,1
4116500,12.4,695147,5.92,Stockholm,3.44,ja,1
2442697,14.9,527241,4.63,Stockholm,2.22,nej,1
3048196,12.9,611361,4.99,Stockholm,3.88,ja,1
794437,12.0,300000,2.65,Ovrigt,4.22,ja,0
3436145,13.4,525464,6.54,Stockholm,2.94,nej,0
4669094,18.0,852845,5.47,Goteborg,2.84,nej,0
2824237,19.5,678421,4.16,Stockholm,2.44,nej,0
1030750,21.6,396976,2.6,Ovrigt,4.19,ja,0
4320446,15.0,1200000,3.6,Stockholm,4.37,nej,1
1878331,18.2,300000,6.26,Goteborg,4.23,nej,0
845514,13.4,300000,2.82,Ovrigt,3.38,nej,0
2500829,13.5,794195,3.15,Ovrigt,2.95,nej,0
2753236,18.7,608276,4.53,Stockholm,3.43,nej,0
1219041,15.2,363293,3.36,Ovrigt,3.01,nej,0
1664271,20.1,302645,5.5,Goteborg,2.82,nej,1
3568517,11.0,584831,6.1,Goteborg,3.3,nej,0
3030028,18.9,742504,4.08,Stockholm,3.97,nej,1
2456623,14.2,385463,6.37,Stockholm,3.09,nej,1
1201212,16.6,378469,3.17,Ovrigt,3.08,nej,0
2789678,14.8,427535,6.53,Goteborg,3.04,nej,1
2112920,15.5,541658,3.9,Goteborg,3.68,nej,0
643919,15.8,300000,2.15,Ovrigt,3.71,nej,0
2416850,17.1,660517,3.66,Ovrigt,3.22,ja,0
3390372,12.8,861413,3.94,Stockholm,3.09,nej,0
1016066,11.6,382594,2.66,Malmo,3.86,nej,0
3519956,17.8,547672,6.43,Stockholm,3.0,nej,0
1631239,13.6,379052,4.3,Ovrigt,4.04,nej,0
1332667,11.4,324057,4.11,Malmo,3.61,nej,0
1387502,11.8,335248,4.14,Ovrigt,4.25,nej,0
3054664,14.7,536001,5.7,Stockholm,3.01,nej,1
5000000,14.0,1138414,4.39,Stockholm,3.62,nej,1
5000000,11.1,872089,5.73,Stockholm,3.64,nej,0
5000000,15.8,867926,5.76,Stockholm,3.85,nej,0
2879365,12.0,692435,4.16,Stockholm,3.41,nej,0
877320,10.3,300000,2.92,Ovrigt,3.87,nej,0
3084747,11.9,587366,5.25,Stockholm,2.82,nej,0
4648704,11.7,880456,5.28,Stockholm,3.17,nej,0
1328662,12.7,300000,4.43,Ovrigt,2.31,nej,1
2626620,12.5,630722,4.16,Goteborg,3.04,nej,1
2643993,12.8,1013625,2.61,Ovrigt,3.02,ja,0
4012822,17.7,913215,4.39,Stockholm,3.4,nej,0
3078822,17.2,860794,3.58,Goteborg,3.79,nej,0
4287549,14.2,651697,6.58,Stockholm,3.54,nej,1
4740846,17.2,879556,5.39,Stockholm,3.67,nej,0
1271629,15.6,300396,4.23,Ovrigt,3.26,nej,0
4223342,14.7,821055,5.14,Stockholm,3.12,nej,0
3922900,15.2,635238,6.18,Goteborg,2.5,nej,0
3588959,13.3,549060,6.54,Goteborg,2.05,nej,0
5000000,17.2,1010951,4.95,Stockholm,2.3,nej,1
1515035,12.5,322702,4.69,Ovrigt,2.8,nej,1
3081637,13.9,554142,5.56,Stockholm,3.75,nej,0
2652621,18.8,459633,5.77,Malmo,2.46,nej,1
1379690,13.8,300000,4.6,Ovrigt,2.71,nej,0
2892765,11.8,484451,5.97,Malmo,2.92,nej,1
1193611,17.2,300000,3.98,Ovrigt,3.97,nej,0
5000000,14.9,907802,5.51,Stockholm,3.18,nej,0
2411062,13.4,498149,4.84,Goteborg,3.28,nej,0
2147500,16.5,484873,4.43,Stockholm,3.45,nej,0
954118,18.9,300000,3.18,Ovrigt,4.04,nej,0
1743809,15.6,364458,4.78,Ovrigt,3.9,ja,1
2756216,16.3,786465,3.5,Stockholm,2.14,nej,0
2517172,19.2,550782,4.57,Malmo,3.28,nej,1
2226901,19.8,450352,4.94,Stockholm,4.06,nej,0
1215350,12.7,315395,3.85,Malmo,3.58,nej,0
3914197,10.8,635876,6.16,Goteborg,3.33,nej,1
1399536,14.0,300000,4.67,Ovrigt,3.41,nej,1
2082621,13.2,453143,4.6,Malmo,2.1,nej,0
2818596,14.0,627501,4.49,Stockholm,2.01,nej,1
3662613,15.5,676592,5.41,Stockholm,3.74,nej,1
4299732,17.0,841808,5.11,Stockholm,3.97,nej,0
1750897,11.7,360344,4.86,Stockholm,2.82,nej,1
1115302,17.7,300000,3.72,Stockholm,3.32,nej,0
1193389,16.7,319023,3.74,Ovrigt,4.01,ja,0
3234426,14.8,909464,3.56,Malmo,4.2,nej,0
5000000,11.8,1097855,4.55,Goteborg,3.15,nej,1
5000000,13.7,1200000,4.17,Stockholm,3.64,nej,0
1262805,15.2,370573,3.41,Ovrigt,4.4,nej,0
684231,11.2,300000,2.28,Ovrigt,3.03,nej,0
2329814,16.8,300000,7.77,Stockholm,3.24,nej,0
1138282,18.5,313133,3.64,Ovrigt,2.54,nej,0
1284319,15.1,451698,2.84,Goteborg,2.57,nej,0
5000000,14.1,1004750,4.98,Stockholm,3.73,nej,1
4220869,16.0,691848,6.1,Goteborg,3.92,nej,0
3065393,16.9,535503,5.72,Goteborg,3.9,nej,1
2693775,22.3,418345,6.44,Stockholm,2.58,nej,1
761972,13.8,300000,2.54,Ovrigt,3.08,nej,0
1808810,13.4,443144,4.08,Ovrigt,4.44,ja,1
3029837,14.0,584680,5.18,Malmo,2.0,nej,0
2833175,14.2,571918,4.95,Goteborg,3.47,nej,0
1999931,11.6,323243,6.19,Goteborg,5.0,ja,1
1991236,13.7,573932,3.47,Malmo,3.88,nej,0
2134814,13.9,579757,3.68,Goteborg,2.0,nej,1
2804461,17.5,389155,7.21,Stockholm,3.44,nej,1
1842762,11.3,357278,5.16,Goteborg,3.33,nej,0
1122640,16.7,527233,2.13,Ovrigt,4.21,ja,0
1829422,20.7,445163,4.11,Goteborg,3.26,nej,0
5000000,14.3,1127664,4.43,Stockholm,3.0,nej,0
1079228,12.4,489163,2.21,Ovrigt,2.0,nej,0
1604847,18.6,491564,3.26,Stockholm,3.39,nej,0
2694111,14.7,594762,4.53,Stockholm,4.15,ja,1
4538051,17.6,612530,7.41,Stockholm,2.87,nej,1
3280735,13.5,446254,7.35,Stockholm,4.86,ja,1
1100495,18.3,300000,3.67,Ovrigt,2.22,nej,0
3158770,15.3,647294,4.88,Goteborg,2.16,nej,0
3986761,17.0,837443,4.76,Stockholm,3.25,nej,1
1452607,14.4,509666,2.85,Ovrigt,2.79,nej,0
3339449,16.7,733899,4.55,Ovrigt,3.78,nej,1
786846,10.1,322316,2.44,Ovrigt,2.94,nej,0
5000000,11.9,1166721,4.29,Stockholm,4.01,nej,1
1770602,17.3,340997,5.19,Goteborg,2.77,nej,0
730034,18.6,300000,2.43,Ovrigt,4.14,ja,1
1101249,12.7,300000,3.67,Ovrigt,2.01,nej,0
2936856,14.0,499659,5.88,Stockholm,3.17,nej,1
3236056,15.4,488214,6.63,Stockholm,3.24,nej,0
2204979,12.3,603423,3.65,Goteborg,3.93,nej,0
1322961,16.4,441333,3.0,Ovrigt,2.29,nej,1
1499606,16.8,303401,4.94,Goteborg,3.03,nej,1
2730750,19.8,417863,6.54,Goteborg,4.07,nej,1
2182280,14.4,514738,4.24,Stockholm,4.15,nej,1
1785199,17.7,300000,5.95,Malmo,3.65,ja,0
1275050,14.3,300000,4.25,Ovrigt,2.79,nej,1
2130288,14.7,359214,5.93,Goteborg,2.18,nej,0
1698824,13.7,710305,2.39,Ovrigt,2.0,nej,0
1304619,15.8,432172,3.02,Ovrigt,2.97,nej,0
2733934,15.3,778300,3.51,Stockholm,2.81,nej,0
1254136,12.2,300000,4.18,Goteborg,4.92,ja,1
5000000,12.6,962881,5.19,Stockholm,3.41,nej,1
1642443,10.5,673633,2.44,Ovrigt,3.07,nej,0
1340491,14.7,300000,4.47,Malmo,3.59,nej,0
841234,17.2,333658,2.52,Malmo,3.82,nej,0
2072156,11.0,488114,4.25,Ovrigt,3.93,nej,1
2220272,14.1,632702,3.51,Goteborg,3.36,nej,0
766115,18.7,305163,2.51,Ovrigt,3.69,ja,0
1751361,13.7,432700,4.05,Goteborg,3.29,nej,0
3178155,10.7,470263,6.76,Stockholm,3.16,nej,1
1328516,14.5,462391,2.87,Malmo,3.77,ja,0
1815039,13.1,646204,2.81,Ovrigt,3.83,nej,0
1442687,12.0,438705,3.29,Stockholm,3.08,nej,0
2990559,15.4,597391,5.01,Ovrigt,2.59,nej,0
1165989,12.3,300000,3.89,Ovrigt,3.21,nej,0
2776416,18.0,425469,6.53,Stockholm,3.63,nej,0
2256498,14.3,555396,4.06,Ovrigt,2.33,nej,0
3373654,16.4,863521,3.91,Stockholm,3.74,ja,0
5000000,15.6,839501,5.96,Stockholm,2.72,nej,1
1357584,10.8,352808,3.85,Stockholm,4.51,nej,0
1102604,12.4,332242,3.32,Ovrigt,3.26,nej,0
2761690,13.3,614888,4.49,Malmo,4.13,nej,1
3517460,12.7,607201,5.79,Stockholm,3.35,nej,0
1021009,14.9,318227,3.21,Goteborg,3.4,nej,0
1392626,13.5,531430,2.62,Malmo,3.16,nej,0
3087834,12.7,448685,6.88,Stockholm,3.73,ja,1
3516022,15.4,820615,4.28,Ovrigt,3.16,nej,0
1758822,12.7,742617,2.37,Ovrigt,2.81,nej,0
2017524,17.4,622587,3.24,Goteborg,3.19,nej,0
3298353,18.3,689969,4.78,Ovrigt,2.23,nej,0
2865733,13.7,501779,5.71,Goteborg,3.3,nej,1
2766720,15.3,543712,5.09,Ovrigt,2.48,nej,1
2707697,15.5,798977,3.39,Malmo,3.26,nej,0
2053428,14.4,488062,4.21,Malmo,3.39,nej,1
2332710,14.6,539244,4.33,Stockholm,4.05,nej,1
1193349,11.9,300000,3.98,Ovrigt,3.39,nej,0
1510765,11.2,472950,3.19,Goteborg,3.04,nej,0
3178631,24.0,830156,3.83,Stockholm,2.82,nej,0
3118310,14.2,871745,3.58,Stockholm,3.63,nej,0
2667327,13.6,541309,4.93,Malmo,3.14,nej,0
1831809,13.8,393753,4.65,Goteborg,2.75,nej,1
1188825,14.5,300000,3.96,Ovrigt,3.29,nej,0
1556799,11.6,328375,4.74,Ovrigt,2.09,nej,0
3499495,14.1,528745,6.62,Stockholm,3.25,nej,0
1235760,12.3,353213,3.5,Ovrigt,2.73,nej,0
5000000,11.2,764840,6.54,Stockholm,3.0,nej,0
3084749,17.5,885821,3.48,Ovrigt,4.4,nej,0
1034455,18.0,420589,2.46,Ovrigt,2.91,nej,0
2946365,15.3,448340,6.57,Goteborg,3.67,nej,0
791377,13.9,360883,2.19,Ovrigt,3.83,nej,0
3610281,11.5,627660,5.75,Stockholm,3.71,nej,0
1383139,19.1,351049,3.94,Goteborg,3.42,nej,0
1521793,10.9,420029,3.62,Ovrigt,2.54,nej,0
2869855,13.1,585560,4.9,Goteborg,2.81,nej,1
1953739,18.3,531721,3.67,Goteborg,2.5,nej,0
2873398,13.8,587138,4.89,Goteborg,2.99,nej,0
2082836,12.1,476155,4.37,Ovrigt,3.0,nej,1
1338785,17.3,300000,4.46,Stockholm,2.65,nej,0
3848145,23.1,770463,4.99,Stockholm,3.53,nej,0
894669,14.9,306077,2.92,Ovrigt,3.47,ja,0
1369849,17.5,300000,4.57,Ovrigt,2.98,nej,1
2514237,14.6,383931,6.55,Stockholm,2.26,nej,0
5000000,17.3,710281,7.04,Stockholm,3.24,nej,1
2198262,14.8,546325,4.02,Stockholm,3.66,ja,1
1092424,23.3,304739,3.58,Stockholm,2.84,nej,0
1900009,10.4,591972,3.21,Goteborg,3.43,nej,0
781208,15.9,300000,2.6,Ovrigt,3.27,nej,0
2042582,10.5,467861,4.37,Malmo,3.55,nej,1
2870638,13.5,486698,5.9,Malmo,3.58,nej,0
2874482,14.3,696784,4.13,Goteborg,3.63,nej,0
4062920,14.9,816411,4.98,Ovrigt,4.2,nej,1
869121,12.2,300000,2.9,Goteborg,3.28,nej,0
1913903,17.6,391997,4.88,Ovrigt,2.63,nej,0
1241444,12.0,396117,3.13,Malmo,2.94,nej,1
5000000,12.8,710340,7.04,Stockholm,2.96,nej,0
1300591,12.6,482273,2.7,Malmo,2.65,nej,0
3923260,17.8,518648,7.56,Stockholm,2.0,nej,1
1187855,12.0,370881,3.2,Malmo,3.34,nej,0
1768077,23.6,382093,4.63,Stockholm,3.22,nej,0
4861898,13.3,886595,5.48,Stockholm,4.35,nej,1
1567018,13.9,481028,3.26,Ovrigt,4.66,ja,0
